Product,Qty,Price
Pepper - Chillies Crushed,918.588,80.09
Juice - Orange 1.89l,2176.993,107.18
Lamb - Shoulder,3290.669,19.6
Cup Translucent 9 Oz,2984.024,121.17
Island Oasis - Banana Daiquiri,2263.449,81.34
Wine - Rubyport,1675.37,21.53
Lobak,1130.763,130.45
Beef - Striploin,3990.0,142.95
Carbonated Water - Orange,3501.837,44.08
Lemonade - Black Cherry 591 Ml,3566.286,73.69
Wheat - Soft Kernal Of Wheat,2705.298,95.0
Juice - Ocean Spray Kiwi,2793.209,119.84
Seaweed Green Sheets,1059.772,101.44
Vodka - Moskovskaya,888.477,11.14
Bread Sour Rolls,3673.081,92.03
Rum - Light Captain Morgan,2716.346,71.68
Pineapple - Golden,2677.63,122.04
Quiche Assorted,729.794,48.44
Wine - Prem Select Charddonany,896.851,69.77
Tuna - Canned Flaked Light,1639.821,10.29
Red Snapper - Fresh Whole,1734.369,147.07
Celery Root,3462.444,59.64
Tea - Herbal I Love Lemon,2115.417,12.24
Sugar - Invert,1824.796,18.24
Nut - Walnut Pieces,1040.163,17.4
Fish - Base Bouillion,325.997,12.61
Nantucket - Pomegranate Pear,96.728,26.02
Cheese - Wine,968.59,28.33
Salt And Pepper Mix - White,3475.328,77.62
Yogurt - Strawberry 175 Gr,3899.73,76.4
Beer - Camerons Auburn,59.183,138.81
Cloves - Ground,3539.552,90.51
Lamb - Whole Head Offnz,1717.381,31.29
Cup - 8oz Coffee Perforated,2419.76,106.58
Basil - Seedlings Cookstown,3288.045,119.51
Apple - Macintosh,2458.507,101.24
Filter - Coffee,2598.272,86.58
Radish,288.734,134.56
The Pop Shoppe Pinapple,1459.138,71.69
Gatorade - Cool Blue Raspberry,1443.86,28.73
Rice - Aborio,2361.701,123.73
Pastry - Carrot Muffin - Mini,2762.022,100.12
Wine - Red Gamay Noir,3462.779,134.56
Galliano,2665.07,24.35
Fish - Scallops Cold Smoked,2657.97,148.11
Corn - Cream Canned,368.69,28.53
Muffin - Carrot Individual Wrap,2499.217,46.62
Eggplant - Asian,126.648,17.95
Bacardi Limon,1632.317,117.7
Tomato Paste,3571.69,116.59
Placemat - Scallop White,1490.591,147.14
Salsify Organic,870.719,72.5
Shichimi Togarashi Peppeers,3104.457,110.43
Orange - Blood,3002.41,144.68
Pie Shell - 5,2276.354,89.27
Flounder - Fresh,2779.424,88.29
Alize Red Passion,3919.129,23.45
Tea - Herbal - 6 Asst,3115.369,78.7
Table Cloth - 53x69 Colour,3454.842,77.03
Chinese Foods - Pepper Beef,744.838,136.44
Sausage - Meat,1064.225,41.51
Vector Energy Bar,129.238,16.94
Yogurt - Plain,3641.105,15.48
Pepper Squash,3058.239,118.63
Cocoa Powder - Natural,331.003,20.94
Iced Tea - Lemon 460 Ml,2578.039,99.68
Tart Shells - Sweet 4,3843.064,40.24
Table Cloth 90x90 Colour,3675.463,49.59
Red Snapper - Fresh Whole,861.846,103.79
Sobe - Lizard Fuel,21.146,28.23
Wine - White Ej,1986.238,75.57
Nantucket - Orange Mango Cktl,2736.14,113.74
Beer - Pilsner Urquell,3932.776,118.81
Beer - Creemore,3188.042,141.62
Chestnuts - Wholecanned,1220.888,95.41
Veal Inside - Provimi,2988.305,43.95
Beef Tenderloin Aaa,3909.775,26.83
Bread Country Roll,3360.853,89.92
Nut - Walnut Chopped,1575.33,29.39
Lemons,1722.014,39.89
Potatoes - Peeled,1504.247,140.06
Grenadillo,2486.009,55.14
Island Oasis - Sweet And Sour Mix,109.627,62.65
Truffle Paste,1351.83,50.63
Parsley - Fresh,514.468,119.82
Coffee Guatemala Dark,3665.365,23.84
Wine - Vineland Estate Semi - Dry,3176.739,80.48
Sprouts - Pea,75.156,135.78
Bread - Multigrain Loaf,3644.812,27.7
Butter Balls Salted,128.857,63.29
Muffin Mix - Lemon Cranberry,358.469,56.23
Chocolate - Feathers,3457.788,44.65
Ham - Cooked Italian,746.133,81.48
Quail - Whole Boneless,3696.092,116.25
Chips - Doritos,3731.32,87.98
Sugar - Fine,1666.405,34.61
V8 Splash Strawberry Kiwi,2293.686,109.03
Pastry - Plain Baked Croissant,1234.051,51.99
Wiberg Cure,42.606,113.67
Rice Paper,727.621,42.12
Numi - Assorted Teas,2059.974,99.12
Cod - Black Whole Fillet,1857.855,81.44
Cabbage - Red,2879.669,67.33
Beef - Ox Tail Frozen,988.867,75.4
Raspberries - Frozen,1814.454,58.91
Cookies - Englishbay Oatmeal,1618.92,69.95
Wine - Domaine Boyar Royal,1184.594,137.03
Temperature Recording Station,3719.174,70.94
Wine - White Schroder And Schyl,546.721,138.29
Pimento - Canned,3206.126,78.56
Garlic - Peeled,2984.498,34.33
Nut - Macadamia,2117.744,129.87
Peas Snow,3869.167,35.45
Table Cloth 81x81 White,1758.466,96.25
Pasta - Ravioli,3430.21,62.76
Chips - Miss Vickies,3683.591,125.92
Coffee - Ristretto Coffee Capsule,2708.487,123.44
Soup - Base Broth Beef,246.376,110.41
Steamers White,1505.173,17.14
Cheese - Camembert,3114.166,143.93
Syrup - Kahlua Chocolate,2927.564,55.0
Ham - Cooked Italian,2730.771,104.96
Wine - Ej Gallo Sierra Valley,856.137,51.15
Pork - Ham Virginia,3130.008,131.46
Knife Plastic - White,3624.787,117.38
Pasta - Lasagna Dry,2964.947,125.21
Venison - Ground,3722.785,39.27
Flavouring - Orange,811.416,82.98
Asparagus - White Fresh,232.151,87.78
Chutney Sauce - Mango,1402.514,48.98
Okra,1429.967,131.64
Cake - Night And Day Choclate,2784.508,69.12
Sauce - Sesame Thai Dressing,1532.091,46.96
Coffee - Decafenated,781.197,54.44
Pork - Tenderloin Frozen,2418.168,19.36
Soup - Campbells Spinach Crm,338.439,121.54
Bagelers - Cinn / Brown Sugar,2380.228,139.0
Beef - Tongue Fresh,1028.657,67.43
Strawberries,3631.92,128.24
Irish Cream - Baileys,3520.772,132.65
Papayas,1896.127,52.45
Mushroom - Trumpet Dry,245.587,42.32
Pancetta,23.98,45.23
Blue Curacao - Marie Brizard,2746.025,121.2
Star Anise Whole,1086.916,28.77
Veal - Brisket Provimibnls,225.75,31.89
Yoplait - Strawbrasp Peac,2979.37,105.98
Bread - Focaccia Quarter,3319.084,44.9
Cafe Royale,949.66,37.96
Beef - Eye Of Round,1196.614,53.7
Wine - Bouchard La Vignee Pinot,3539.421,141.06
Scallops - 10/20,613.37,134.81
Wine - Crozes Hermitage E.,55.053,71.23
Poppy Seed,2349.618,100.75
Plastic Wrap,3081.345,111.55
Muffin Batt - Carrot Spice,3446.788,26.16
Pepper - Paprika Spanish,2904.921,123.97
Pork - Back Short Cut Boneless,386.018,10.32
Compound - Passion Fruit,3219.63,25.05
Island Oasis - Mango Daiquiri,1260.711,57.78
Nut - Peanut Roasted,2938.2,144.24
Chicken - Wieners,1404.194,140.0
Mustard - Pommery,3464.661,142.0
Chocolate - Mi - Amere Semi,3189.25,141.09
Olive - Spread Tapenade,3551.307,131.84
Lobster - Tail 3 - 4 Oz,1760.445,82.5
Spinach - Baby,1035.284,83.9
Mix - Cappucino Cocktail,2576.107,113.14
Muffin Carrot - Individual,2718.972,109.03
Calypso - Lemonade,3752.825,57.69
Cake - Miini Cheesecake Cherry,1641.745,57.29
Pineapple - Golden,330.452,112.81
Carrots - Jumbo,542.887,68.61
Wine - Taylors Reserve,1138.154,82.22
Madeira,439.702,36.51
Pastry - Baked Cinnamon Stick,2407.582,71.36
Compound - Orange,963.338,130.17
Pepper - White Ground,3019.372,57.96
Squeeze Bottle,2104.358,121.43
Wine - Muscadet Sur Lie,472.482,66.13
Mushroom - Portebello,3115.974,129.06
Nectarines,2095.778,61.58
Pork Loin Bine - In Frenched,3861.86,55.6
Crab - Dungeness Whole,3163.924,98.13
Pork Salted Bellies,64.246,49.46
Nut - Walnut Chopped,1517.032,109.92
Shopper Bag - S - 4,3999.071,130.95
Chicken - Whole,281.971,101.69
Shrimp - Tiger 21/25,1517.61,51.29
Ecolab - Balanced Fusion,2506.273,37.87
Hickory Smoke Liquid,416.287,53.57
Cabbage - Nappa,828.103,101.2
Persimmons,3784.265,27.95
Nescafe - Frothy French Vanilla,2002.093,30.74
Cheese - Gouda Smoked,2165.022,135.38
Wine - German Riesling,3224.106,149.22
Appetizer - Veg Assortment,442.723,118.54
Eggplant - Baby,3390.779,141.78
Clementine,3152.765,86.94
Iced Tea - Lemon 340ml,3749.836,63.84
Nut - Almond Blanched Sliced,1231.774,106.14
Veal - Loin,1532.576,55.19
Tea - Honey Green Tea,188.361,133.08
Chips - Doritos,1860.185,80.4
Bagel - Everything Presliced,1361.82,14.0
Sprouts - Onion,2643.105,123.43
Skirt - 24 Foot,650.265,72.99
Uniform Linen Charge,839.69,114.95
Bread - Italian Corn Meal Poly,1093.017,97.25
Dooleys Toffee,327.779,94.12
Pepper - Black Ground,2147.708,27.65
Cakes Assorted,1441.363,129.14
Veal - Ground,514.185,120.33
Clam Nectar,526.884,40.38
Cherries - Frozen,752.789,116.59
Nestea - Ice Tea Diet,667.171,53.87
Horseradish - Prepared,2801.394,139.69
Cheese Cheddar Processed,1892.98,111.54
Magnotta - Bel Paese White,1138.554,60.71
Hersey Shakes,3307.177,33.56
Paper Cocktail Umberlla 80 - 180,715.457,83.51
Cheese - Perron Cheddar,2437.206,62.38
Cake - Cake Sheet Macaroon,2719.584,12.07
Lime Cordial - Roses,1088.4,39.73
Soup Bowl Clear 8oz92008,2728.726,88.9
Doilies - 8 Paper,2221.239,27.73
Beef - Short Loin,2476.938,132.47
Cake - Pancake,1200.404,76.12
Cheese - Pied De Vents,2712.903,13.87
Gatorade - Xfactor Berry,3295.219,22.55
Paste - Black Olive,3070.24,107.07
Juice - Orange 1.89l,1103.139,17.94
Island Oasis - Pina Colada,1663.993,82.08
Pastry - Banana Tea Loaf,1604.692,124.33
Pizza Pizza Dough,2193.283,138.67
Tea - Decaf 1 Cup,630.506,129.26
Beans - Long Chinese,659.079,118.01
Buffalo - Striploin,2531.701,97.43
Chocolate Eclairs,2430.286,108.49
Beef - Montreal Smoked Brisket,1114.774,13.18
Soup - Knorr Chicken Gumbo,899.129,140.09
Cactus Pads,338.284,117.41
Sauce - Rosee,1657.505,63.02
Cheese - Marble,2391.49,51.47
Tamarind Paste,1183.394,132.39
Nut - Chestnuts Whole,2049.301,53.78
Scotch - Queen Anne,1841.653,115.86
Beans - Navy Dry,2893.557,40.95
Beans - Turtle Black Dry,1344.581,75.54
Sauce - Plum,2127.448,110.01
Wine - Riesling Alsace Ac 2001,676.648,99.02
Dawn Professionl Pot And Pan,2455.927,51.06
Flour - So Mix Cake White,2631.99,125.37
Wine - Two Oceans Cabernet,408.875,120.22
Paper Cocktail Umberlla 80 - 180,1878.956,125.47
Salt - Celery,69.833,14.76
Soy Protein,1533.851,56.34
Wine - Beringer Founders Estate,2370.78,86.37
Haggis,3321.111,108.59
Muffin - Bran Ind Wrpd,1815.145,88.62
Truffle Shells - Semi - Sweet,128.16,113.29
Pasta - Penne Rigate Dry,481.55,129.7
Melon - Honey Dew,160.674,86.71
Wine - White Cooking,78.965,10.04
Soup - Cream Of Broccoli Dry,3245.943,80.12
Wine - Red Mouton Cadet,3098.198,115.11
Hold Up Tool Storage Rack,1886.524,66.34
Carbonated Water - Blackcherry,2103.8,114.2
Coke - Classic 355 Ml,3153.579,20.44
Tart Shells - Sweet 2,2829.155,10.37
Shrimp - 150 - 250,879.836,93.44
Fenngreek Seed,1546.429,127.48
Oil - Sunflower,1041.604,121.18
Lettuce - Baby Salad Greens,3314.788,71.23
Kumquat,1166.46,19.34
Wine - Casillero Del Diablo,1573.57,121.96
Halibut - Steaks,436.189,59.77
Wine - Red Cooking,2381.388,138.41
Mop Head - Cotton 24 Oz,3101.193,132.82
Eggplant Oriental,1178.024,138.2
Potatoes - Mini White 3 Oz,45.108,44.08
Molasses - Fancy,1007.686,115.91
Coffee - Colombian Portioned,1063.792,72.88
Wine - Red Pinot Noir Chateau,2485.572,73.5
Flour - Fast / Rapid,2932.593,91.79
Rice - Brown,1651.254,140.58
Wiberg Cure,1419.313,60.62
The Pop Shoppe - Lime Rickey,1077.996,122.81
Scallops - In Shell,2466.163,93.76
Chocolate Liqueur - Godet White,783.504,13.58
Chicken - Soup Base,1821.307,41.73
Chinese Foods - Chicken Wing,765.351,122.98
Papadam,1217.254,84.19
Flour - Buckwheat Dark,1879.983,146.95
Wine - Rioja Campo Viejo,2939.044,130.11
Asparagus - White Canned,626.179,37.32
Wine - Cotes Du Rhone Parallele,2639.08,16.18
Sun - Dried Tomatoes,327.983,73.41
Bandage - Finger Cots,300.96,128.82
Chinese Foods - Plain Fried Rice,1855.906,38.31
Trueblue - Blueberry,2739.97,130.77
Cheese - Havarti Roasted Garlic,317.944,41.95
Nut - Almond Blanched Whole,3370.064,79.11
Orange Roughy 4/6 Oz,1967.035,91.15
Doilies - 10 Paper,3883.913,68.67
Calypso - Strawberry Lemonade,2689.574,120.08
Bay Leaf Ground,2658.723,54.78
Syrup - Golden Lyles,1866.556,127.89
Eggroll,3495.624,140.69
Sauce Bbq Smokey,1369.172,88.75
Bread - French Stick,2930.582,92.9
Crush - Grape 355 Ml,2394.053,29.09
Eggs - Extra Large,2881.573,54.39
Pasta - Fusili Dry,3479.35,143.35
Spinach - Packaged,1936.355,98.94
Cilantro / Coriander - Fresh,678.44,135.15
Towel Multifold,3448.517,97.78
Soup - Campbells Pasta Fagioli,3279.77,55.29
Cheese - Provolone,2744.314,56.12
Juice Peach Nectar,26.145,122.94
Juice - Orange 341 Ml,1241.707,61.41
Cream - 10%,377.998,25.83
Coffee - Frthy Coffee Crisp,2887.994,133.61
Broom And Broom Rack White,1346.938,82.4
Scallops - U - 10,1547.172,36.93
Dc Hikiage Hira Huba,3130.607,15.0
Truffle Cups - Red,523.425,38.93
Halibut - Fletches,1294.966,127.88
Lettuce - Treviso,2660.919,126.62
Onions - Spanish,1554.268,63.37
Appetizer - Shrimp Puff,2565.056,101.81
Chocolate - Feathers,2230.258,43.15
Beef - Texas Style Burger,1394.375,113.27
Lady Fingers,964.883,78.16
Tomatoes - Cherry,2229.752,51.07
Cheese - Asiago,2683.741,39.99
Leeks - Baby White,502.055,24.93
Muffin Hinge Container 6,2253.575,111.35
Horseradish - Prepared,2330.23,110.23
Wine - Semi Dry Riesling Vineland,443.128,95.17
Wiberg Super Cure,52.058,106.32
Pail - 15l White With Handle,3606.822,113.31
Sugar - White Packet,2217.817,43.37
Doilies - 10 Paper,3967.786,129.84
Plate Pie Foil,1194.143,78.13
Beef - Top Sirloin,1951.801,45.07
Flour - Rye,842.149,56.48
